"ID","Directory","InstanceType","Flags","PVP","MapName_Lang_enUS","MapName_Lang_enGB","MapName_Lang_koKR","MapName_Lang_frFR","MapName_Lang_deDE","MapName_Lang_enCN","MapName_Lang_zhCN","MapName_Lang_enTW","MapName_Lang_zhTW","MapName_Lang_esES","MapName_Lang_esMX","MapName_Lang_ruRU","MapName_Lang_ptPT","MapName_Lang_ptBR","MapName_Lang_itIT","MapName_Lang_Unk","MapName_Lang_Mask","AreaTableID","MapDescription0_Lang_enUS","MapDescription0_Lang_enGB","MapDescription0_Lang_koKR","MapDescription0_Lang_frFR","MapDescription0_Lang_deDE","MapDescription0_Lang_enCN","MapDescription0_Lang_zhCN","MapDescription0_Lang_enTW","MapDescription0_Lang_zhTW","MapDescription0_Lang_esES","MapDescription0_Lang_esMX","MapDescription0_Lang_ruRU","MapDescription0_Lang_ptPT","MapDescription0_Lang_ptBR","MapDescription0_Lang_itIT","MapDescription0_Lang_Unk","MapDescription0_Lang_Mask","MapDescription1_Lang_enUS","MapDescription1_Lang_enGB","MapDescription1_Lang_koKR","MapDescription1_Lang_frFR","MapDescription1_Lang_deDE","MapDescription1_Lang_enCN","MapDescription1_Lang_zhCN","MapDescription1_Lang_enTW","MapDescription1_Lang_zhTW","MapDescription1_Lang_esES","MapDescription1_Lang_esMX","MapDescription1_Lang_ruRU","MapDescription1_Lang_ptPT","MapDescription1_Lang_ptBR","MapDescription1_Lang_itIT","MapDescription1_Lang_Unk","MapDescription1_Lang_Mask","LoadingScreenID","MinimapIconScale","CorpseMapID","CorpseX","CorpseY","TimeOfDayOverride","ExpansionID","RaidOffset","MaxPlayers"
"605","development_nonweighted","0","17","0","","","","","","","","","Development Land (non-weighted textures)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","21","1","0","0","0","-1","0","0","0"
"606","QA_DVD","0","31","0","","","","","","","","","QA and DVD","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","21","1","0","0","0","-1","2","0","0"
"607","NorthrendBG","3","29","1","","","","","","","","","Берег Древних","","","","","","","","16712190","0","","","","","","","","","К югу от Драконьего Погоста лежат земли, в которых хранится древняя реликвия титанов. И Орде, и Альянсу известно, что она способна приоткрыть завесу тайны над историей этих древних творцов.Приготовьтесь к битве – судьба Берега Древних теперь зависит и от вас.","","","","","","","","16712190","","","","","","","","","К югу от Драконьего Погоста лежат земли, в которых хранится древняя реликвия титанов. И Орде, и Альянсу известно, что она способна приоткрыть завесу тайны над историей этих древних творцов.Приготовьтесь к битве – судьба Берега Древних теперь зависит и от вас.","","","","","","","","16712190","238","1","0","0","0","-1","2","0","0"
"608","DalaranPrison","1","29","0","","","","","","","","","Аметистовая крепость","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","235","1","571","5689,49","498,0469","-1","2","0","5"
"609","DeathKnightStart","0","29","0","","","","","","","","","Черный оплот","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","233","1","0","0","0","-1","2","0","0"
"610","Transport_Tirisfal _Vengeance_Landing","0","1","0","","","","","","","","","Транспорт: из Тирисфаля к Лагерю Возмездия","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"612","Transport_Menethil_Valgarde","0","1","0","","","","","","","","","Транспорт: из Менетила к Вангарду","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"613","Transport_Orgrimmar_Warsong_Hold","0","1","0","","","","","","","","","Транспорт: из Оргриммара к Крепости Песни Войны","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"614","Transport_Stormwind_Valiance_Keep","0","1","0","","","","","","","","","Транспорт: из Штормграда к Крепости Отваги","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"615","ChamberOfAspectsBlack","2","29","0","","","","","","","","","Обсидиановое святилище","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","239","1","571","3438,153","260,4013","-1","2","0","0"
"616","NexusRaid","2","29","0","","","","","","","","","Око вечности","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","236","1","571","3869,981","6984,33","-1","2","0","5"
"617","DalaranArena","4","29","0","","","","","","","","","Стоки Даларана","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","242","1","0","0","0","0","0","0","0"
"618","OrgrimmarArena","4","29","0","","","","","","","","","Арена Доблести","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","240","1","0","0","0","720","0","0","0"
"619","Azjol_LowerCity","1","29","0","","","","","","","","","Ан'кахет: Старое Королевство","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","234","1","571","3641,458","2032,064","-1","2","0","0"
"620","Transport_Moa'ki_Unu'pe","0","1","0","","","","","","","","","Транспорт: из Моа'ки в Уну'пе","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"621","Transport_Moa'ki_Kamagua","0","1","0","","","","","","","","","Транспорт: из Моа'ки в Камагуа","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"622","Transport192241","0","1","0","","","","","","","","","Транспорт: Молот Оргрима","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"623","Transport192242","0","1","0","","","","","","","","","Транспорт: Усмиритель небес","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"624","WintergraspRaid","2","61","0","","","","","","","","","Склеп Аркавона","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","243","1","571","5488,125","2840,334","-1","2","0","0"
"628","IsleofConquest","3","29","1","","","","","","","","","Остров Завоеваний","","","","","","","","16712190","0","","","","","","","","","Остров Завоеваний – стратегически важная территория, захватить которую стремятся экспедиции Орды и Альянса.Каждой из сторон Остров мог бы послужить отличной отправной точкой для проведения операций в Ледяной Короне.Седьмой легион Альянса и Кор'крон Орды вовлечены в кровопролитные бои в надежде склонить чашу весов в свою сторону и победить генерала противника.","","","","","","","","16712190","","","","","","","","","Остров Завоеваний – стратегически важная территория, захватить которую стремятся экспедиции Орды и Альянса.Каждой из сторон Остров мог бы послужить отличной отправной точкой для проведения операций в Ледяной Короне.Седьмой легион Альянса и Кор'крон Орды вовлечены в кровопролитные бои в надежде склонить чашу весов в свою сторону и победить генерала противника.","","","","","","","","16712190","245","1","0","0","0","-1","2","0","0"
"631","IcecrownCitadel","2","285","0","","","","","","","","","Цитадель Ледяной Короны","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","250","1","571","5776,922","2065,932","-1","2","0","0"
"632","IcecrownCitadel5Man","1","29","0","","","","","","","","","Кузня Душ","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","249","1","571","5670,792","2003,629","-1","2","0","0"
"641","Transport_AllianceAirshipBG","0","1","0","","","","","","","","","Transport: Alliance Airship BG","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"642","Transport_HordeAirshipBG","0","1","0","","","","","","","","","Transport: HordeAirshipBG","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"647","Transport_Orgrimmar_to_Thunderbluff","0","1","0","","","","","","","","","Транспорт: из Оргриммара в Громовой Утес","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"649","ArgentTournamentRaid","2","29","0","","","","","","","","","Испытание крестоносца","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","246","1","571","8515,286","736,1371","-1","2","0","0"
"650","ArgentTournamentDungeon","1","29","0","","","","","","","","","Испытание чемпиона","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","247","1","571","8571,435","792,2205","-1","2","0","0"
"658","QuarryofTears","1","29","0","","","","","","","","","Яма Сарона","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","252","1","571","5592,057","2010,271","-1","2","0","0"
"668","HallsOfReflection","1","29","0","","","","","","","","","Залы Отражений","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","253","1","571","5628,875","1973,286","-1","2","0","0"
"672","Transport197347","0","1","0","","","","","","","","","Транспорт: Усмиритель небес (рейды в Цитадели Ледяной Короны)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"673","Transport197348","0","1","0","","","","","","","","","Транспорт: Молот Оргрима (рейды в Цитадели Ледяной Короны)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"712","Transport197349","0","1","0","","","","","","","","","Транспорт: Усмиритель небес (подземелья Цитадели Ледяной Короны)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"713","Transport197350","0","1","0","","","","","","","","","Транспорт: Молот Оргрима (подземелья Цитадели Ледяной Короны)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"718","Transport201834","0","1","0","","","","","","","","","Транспорт: ""Могучий ветер"" (Цитадель Ледяной Короны, рейд)","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","2","0","0"
"723","Stormwind","0","29","0","","","","","","","","","Штормград","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","0","1","0","0","0","-1","0","0","0"
"724","ChamberofAspectsRed","2","285","0","","","","","","","","","Рубиновое святилище","","","","","","","","16712190","0","","","","","","","","","","","","","","","","","16712188","","","","","","","","","","","","","","","","","16712188","254","1","0","0","0","-1","2","0","0"
